sent0,sent1,labels
Sometimes going to a concert causes feeling happy,Sometimes going to a funeral causes feeling happy,0
The dog chased the cat.,The tree chased the cat.,0
Buttered noodles is a popular dish,Fried underwear is a popular dish,0
i captured a photo in my lunch box,i captured a photo in my camera,1
Going to a baseball game can be entertaining but is very relaxing too.,"Only baseball is relaxing as opposed to football, basketball and hockey.",0
The sky is blue.,The elephant is blue.,0
He wore running shoes in his legs,he wore running shoes in his nose,0
cars are mostly made of ice,cars are mostly made of metal,1
He put a roast in the oven,He put a tiger in the oven,0
I bought a phone online,I bought a phone at the butcher,0
I washed off the stain on my face with clean oil.,I washed off the stain on my face with clean water.,1
Sloth runs faster,Cheetah runs faster,1
The Earth is a planet,The flower is a planet,0
A bin contains different books,A bookshelf contains different books,1
The simplest carbohydrates are monosaccharides,The simplest carbohydrates are amino acid,0
He watched the commercials in radio,He watched the commercials in TV,1
He put the pizza in the furnace.,He put the pizza in the oven.,1
My cat drinks nail polish everyday.,My cat drinks milk everyday.,1
He wiped his mouth on a driveway.,He wiped his mouth on a napkin.,1
People can only learn a language when they are young.,People learn languages when they are young.,1
Pigeons fly through the air,Pigeons live deep underwater,0
I bought the coach bag from a department store close to my work place.,I bought the coach bag from a grocery store close to my work place.,0
She ate a big sandcasttle on the beach.,She built a big sandcastle on the beach.,1
"For a vehicle to run, it must have gas.","For a vehicle to run, it must have vegetable oil.",0
My television is transparent,My television is broken,1
he went to the medical shop to eat breakfast,he went to the hotel to eat breakfast,1
He blew air in the balloon to make it big,He blew fire into the balloon to make it big,0
Bricks are made from vegetables,Bricks are made from clay,1
The crocodile ate a fish,The crocodile smoked a cigar,0
He drove his car from Los Angeles to Honolulu,He drove his car to work in Los Angeles,1
Duct tape can be used to seal air.,Duct tape can be used to seal air ducts.,1
doctor treat the illness of patient,police  treat the illness of patient,0
He went to the hospital to withdraw money.,He went to the bank to withdraw money.,1
The girl's favorite snack was a banana.,The girl's favorite snack was a frisbee.,0
The man screamed at the dog,The dog screamed at the man,0
He parked the cat in the garage,He parked the car in the garage,1
A laptop contain several parts as a machine,A lever contains several parts as a machine,0
Milk is white in color,Tar is white in color,0
my brother look like water,my brother look like hero,1
An octagon has five sides.,An octagon has eight sides.,1
A trumpet is played by strumming.,A trumpet is played by blowing.,1
Basketball is a team sport so you need to pass to your teammates,Basketball is a team sport so you need to pass to your trees,0
You put your house on your head.,You put your headphones on your head.,1
my elephant is driving a car,my sister is driving a car,1
my brother is strong stone,my brother is strong person,1
There is 24 hours in a day.,There is multiple days in an hour.,0
She the string with scissors,She cut the rock with scissors,0
She flew to Europe on a plane.,She flew to Europe on a horse.,0
Texas is hot in the summer,Ice is hot in the summer,0
"My first car was bought from a Grocery Shop in Douglasville, Georgia.","My first car was bought from a Car Shop in Douglasville, Georgia.",1
Cats enjoy eating microwaves,Cats enjoy fish and chicken,1
My dog is being prepared by my father,My sandwich is being prepared by my father,1
He has hat on his nose,He has hat on his head,1
The boy went home after playing with his friends.,The boy went to the moon after playing with his friends.,0
He cut the grass with a pair of scissors.,He cut the grass with a riding lawn mower.,1
I skated on ice at the ice rink.,I skated on the ice without ice skates.,0
the store drove the car,Ben drove his car to the store.,1
A giraffe got into the taxi,A man got into the taxi.,1
He plays baseball on the weekend,He plays baseball with zebras on the weekend,0
I rode a beaver to work.,I rode the bus to work.,1
he took some water by a glass to drink,he took some water by a book to drink,0
I like eating books,I like reading books,1
Hospitals are safe,Hospitals are dangerous,0
The Grand Canyon is in Arizona,Arizona is in Europe,0
A scientist planned to go to the space by Rocket,A scientist planned to go to the space by bus,0
Audiences perform during a play.,People perform during a play.,1
She put the ring on her intestine.,She put the ring on her finger.,1
i just take every decision by my mind,i just take every decision by my leg,0
This activity is made for the purpose of shark,This activity is made for the purpose of entertainment,1
He took a nap on the couch,He took a nap on the tomato,0
A face cream is for combing your hair,A comb is for combing your hair,1
He wore rain coat since it was raining,He wore the bottle since it was raining,0
playing frisbee is for people who like to play frisbee,playing frisbee is for people who like to play football,0
He zipped up his hamster.,He zipped up his jacket.,1
Ketchup is a type of book,A novel is a type of book,1
She read a big cloud,She read a big book,1
HE AND SHE GOES FOR  DINNER TO THE LIBRARY.,HE AND SHE GOES FOR DINNER  TO THE HOTEL.,1
Fishes can only live in water.,Fishes can only live on land.,0
my brother drive car,my brother drive lion,0
my sister drive lion,my sister drive a car,1
Three people ate dinner and one of them was a vegetarian.,One person ate dinner and three of them were vegetarians.,0
The boy went to school to learn from a teacher.,The boy went to a restaurant to learn from a teacher.,0
I usually eat red shoes.,I usually wear red shoes.,1
He floated a green fence to space.,He floated a red balloon to space.,1
The house had a banana on top to protect if from lightning.,The house had a lightning rod on top to protect it from lighting.,1
There are many whales in the swamp.,There are many insects in the swamp.,1
Soap helps to clean.,Soap does nothing.,0
She cooked a soup with broth,She cooked a smoothie with broth,0
He put a bicycle in my bag,He put a pen in my bag,1
They took the patient in a cooker,They took the patient in an ambulance,1
The book was fun to read,The movie was fun to read,0
Took the child in school to learn to read and write,Took the child to the hospital to learn to read and write.,0
Pluto is the closest planet to the sun.,Mercury is the closest planet to the sun.,1
Justin Bieber is a famous musician who is not from this century,Mozart is a famous musician who is not from this century,1
My daughter is wearing a pistol jacket,My daughter is wearing a black jacket,1
He put the dirty dishes under the couch.,He put the dirty dishes in the sink.,1
He put cat to his hair,He put a shampoo to his hair,1
my sister store house in fridge,my sister store vegetables in fridge,1
He eats a box of ceral,He eats a box of spatulas,0
My computer is updating,My table is updating,0
Some skycrapers are much shorter than churches.,Some skycrapers are much taller than others.,1
A mouse lives in the wall.,A elephant lives in the wall.,0
The sail blows the wind,Wind blows the sail,1
He got out of his steering wheel.,He got out of his car.,1
The cow is sit on the chair,He is sit on the chair,1
He took a lion for a walk.,He took a dog for a walk.,1
He owns two cats.,He owns two oceans.,0
50 eggs were harvested from the humans.,50 eggs were harvested from the chicken.,1
There are unknown monsters in lakes,There are no monsters in lakes,1
THE MAN  HAS TO EAT EGG IN EVERYDAY,THE MAN  HAS TO EAT STONE IN EVERYDAY.,0
The newspaper is made of paper,The newspaper is made of plastic,0
the monkey teach math,my brother see monkey,1
He is wearing a pizza to the wedding,He is wearing a tuxedo to the wedding,1
You are likely to find a potato in a bag.,You are always likely to find a potato in a bag.,0
She uses a vacuum cleaner to clean the room,She uses a paint bucket to clean the room,0
He rocked the baby to sleep,He put the baby in the fridge,0
Coffee is a snack.,Coffee is a beverage.,1
The cat is on the table,The cat is a table,0
He drinks milk daily by morning,He drinks Poison Daily by morning,0
Cake baked the chef,chef baked a cake.,1
I called my Plumber to come fix my Bathtub.,I called my Tailor to come fix my Bathtub.,0
the doctor checked the heart beat with stethoscope,the doctor checked the heart beat with thermometer,0
I ate an aeroplane for lunch.,I ate a steak for lunch.,1
Humans have hollow bones so they can fly,Birds have hollow bones so they can fly,1
A monkey can climb a building,A whale can climb a building,0
teacher teaches lessons by her mouth,teacher teaches lessons by her nose,0
she drives her boat in the highway,she drives her car in the highway,1
Calculating numbers in different ways is called math.,Calculating numbers in different ways is called biology.,0
the car wheel got punctured,the car lamp got punctured,0
the girl wore chair in her neck,the girl wore necklace in her neck,1
I need to eat some food to get energy.,I need to eat some plastic to get energy.,0
He puts the cage in the tiger.,He puts a tiger in the cage.,1
Weather can be easily predicted.,Weather can be predicted.,1
a blowdryer is used for turning electricity into dry hair,a blowdryer is used for turning electricity into wetting a cloth,0
Students create tests to assess their learning.,Students take tests to assess their learning.,1
The logger chopped down the tree,The logger chopped down the star,0
a sofa is used for sitting on,a lamp is used for sitting on,0
JIM CAUGHT A FISH WITH FISHING NET.,JIM CAUGHT A FISH WITH PLATE.,0
My smartphone has got only one application,My smartphone has got many applications,1
The woman drank some air.,The woman drank some water.,1
he shot the man with spoon,he shot the man with pistol,1
It's okay to cry sometimes,It's okay to die sometimes,0
he wrote home work in his bag,he wrote home work in the note book,1
He ran onto the bus,He ate the bus,0
A minister is part of the governement.,A hair dresser is part of the government.,0
He visited ATM to withdraw cash,He visited petrol bunk to withdraw cash,0
You are likely to find a fish in ocean,You are likely to find a dog in ocean,0
He signed the caterpillar.,He signed the document.,1
I enjoy teaching my 8 year old son to ride a motor cycle,I enjoy teaching my 7 year old son to ride a bicycle,1
She get permission to her mother to swim in the swimming pool,She get permission to her mother to swim in the mountain top,0
the car was floating on the water,The boat was floating on the water,1
Birds fly using their feet.,Birds fly using their wings.,1
All state flowers are the scarlet carnation.,The New Jersey state flower is the scarlet carnation.,1
A piece of paper is for writing money.,A piece of paper is for writing words.,1
He put a cake on the table,He put a table on a cake,0
He read books in library,He read burger in library,0
toady i buy a summer,toady i buy a car,1
You are likely to find a lion wandering in a city,You are likely to find a dog wandering in a city,1
he parked the car under the tree,he parked the spoon under the tree,0
Mary is going on vacation to the Sun,Mary is going on vacation to Spain,1
He kicked the monkey into the goal.,He kicked the football into the goal.,1
my brother drive road,my brother drive  a bike,1
She washed her book with soap,She washed her hands with soap,1
She planted the toothpaste in the garden to grow.,She planted the roses in the garden to grow.,1
The polar bear flew south for the winter,The bird flew south for the winter,1
SHE PRACTICES CYCLING WITH CYCLE.,SHE PRACTICES CYCLING WITH CAR.,0
A hippopotamus got into the car,A person got into the car,1
The wedding cake was decorated with a model of the bride and groom.,The wedding cake was very happy for the bride and groom.,0
Fires can be used to prevent death.,Fires can be a cause of death.,1
He carries a banana in basket,He carries lion into the basket,0
The maths teacher gave a good history lesson.,The maths teacher gave a good lesson.,1
There are seventy minutes in an hour,There are sixty minutes in an hour,1
he charged his phone with a hdmi cable,he charged his phone with a phone cable,1
He wore watch on his wrist,he wore watch on his nose,0
A hammer drives nails by pressing.,A hammer drives nails by striking.,1
My sister is working hard on her sleep,My sister is working hard on her project,1
"People sleep longer than cats, up to 20 hours per day.","Sloths sleep longer than cats, up to 20 hours per day.",1
You must fill up a bath-tub with water to take a bath.,You must fill up a bath-tub with ketchup to take a bath.,0
He sat on the chair.,He sat on the table.,0
Cats are reptiles,Cats are mammals,1
She got a soda out of an ATM.,She got some cash out of an ATM.,1
today i went to home,today i went to fire,0
he prints a negative picture as colored by Printing scanner,he prints a negative picture as colored by Sack piece.,0
She bought an itchy scarf at the mall.,She bought an itchy calendar at the mall.,0
Banana is a fruit.,Iron Rod is a fruit.,0
The boy won his baseball game when he hit his coach.,The boy won his baseball game when he hit a homerun.,1
We go to Kitchen to get a hair cut.,We go to a Barber shop to get a hair cut.,1
The car is filled with hot lava,The car is filled with balloons,1
She brushed her hair with a comb.,She brushed her hair with a spoon.,0
My aunt is rich because she has a big property,My aunt is rich because she has a very small property,0
She went to the store to buy milk.,She went to the bank to buy milk.,0
The guy wore spoon for the party,The guy wore suit for the party,1
A violin is made of wood.,A violin is made of glass.,0
Most birds can fly,Most birds can dance,0
I planned a trip in the cycle for the england country to this summer,I planned a trip in the flight for the england country to this summer,1
HE USE STONES TO COOK,HE USE VEGETABLES TO COOK,1
Bears can usually kill people with their bare hands.,People can usually kill bears with their bare hands.,0
You can jump a low fence,You can jump a high fence,0
She brings a sandwich wrapped in newspaper for lunch everyday,She brings a sandwich wrapped in aluminium foil for lunch everyday,1
He went to the kitchen to swim,He went to the pool to swim,1
my girlfriend give a pen through her hands,my girlfriend give a pen through her hip,0
He had contact lenses on his two eyes,He had contact lenses on his three eyes,0
She put her books into her backpack.,She put her giraffe into her backpack.,0
A man wants to fly in the car,A man wants to fly in the plane,1
A cemetery contains the remains of the dead.,A cemetery generates the remains of the dead.,0
My father was buried in the Andrews Cemetery.,My father was buried in the Andrews Computer.,0
Bread is typically a main ingredient of a sandwich,Plastic is typically a main ingredient of a sandwich,0
He moved from the city to the suburbs.,He moved from the ocean to the suburbs.,0
soft music relax the  mind,noise relax the  mind,0
He used bells to make silent,He used bells to make noise,1
My Aunt just discovered that she is three months pregnant.,My Uncle just discovered that she is three months pregnant.,0
The fish batted the ball around the living room.,The cat batted the ball around the living room.,1
A man ate plastic box for his health development,A man ate banana for his health development,1
If you break your cell phone you should go to the hospital.,If you break a leg you should go to the hospital.,1
He changed the light bulb.,He changed the air.,0
He turned on the fan since it was dark,He turned on the lamp since it was dark,1
he take a shower,he take a hill,0
he buys a microphone to listen to music,He buys a speaker to listen to music,1
I need to fly in a Train to California.,I need to fly in a plane to California.,1
Human goes faster than light,A car goes faster than a human,1
You can buy people at the mall.,You can buy food at the mall.,1
Joe threw the red ball to Tom.,The red ball threw Joe to Tom.,0
He cooked the popcorn in the microwave.,He cooked the popcorn in the refrigerator.,0
Minecraft is a perfect representation of reality,Minecraft is a videogame,1
i am going to book buy to book store,i am going to book buy to fancy store,0
He went to the butcher shop to get ready for his birthday party.,He went to the barber shop to get ready for his birthday party.,1
He lit the water.,He lit the lamp.,1
He put a frozen pizza in the refridgerator,He put a frozen pizza in the oven,1
Something that you find in the sky is dogs.,Something that you find in the sky is birds.,1
He put a house in his pocket,He put his wallet in his pocket,1
I like eating concrete,I like eating apples,1
he drove a car on the road,he drove a plane on the road,0
"To get across an ocean, you need a plane","To get across an ocean, you need a car",0
She lived in a chocolate bar,She ate a chocolate bar,1
My electric car is yellow,My electric car is silly,0
A computer is a natural item,A computer is an electronic item,1
Ants are hard-working insects,Elephants are hard-working insects,0
Christmas is a time for family and gifts,Christmas is a time for working all day,0
In holland we do not eat much rice,In coconut we do not eat much rice,0
I put dirty utensils in the wasing machine.,I put my dirty clothes in the washing machine.,1
He bought new mobile with his teeth,He bought new mobile with his money,1
Senior citizens may be young.,Senior citizens are old.,1
"If you need a haircut, you go to McDonalds.","If you need a haircut, you go to a barbershop.",1
Meals leave dishes to be washed.,Meals leave dishes to be thrown away.,0
"It is Christmas, so I need to go shopping for gifts.","It is Monday, so I need to go shopping for gifts.",0
Binoculars allow people to see distant objects,Microscopes allow people to see distant objects,0
She took to sea in a boat.,She took to sea in a colander.,0
he take shower at 8.00 am,he take hills at 8.00 am,0
The pencil is in the backpack,The car is in the backpack,0
My luggage was in the trunk of my car all through my trip from New York to New Jersey.,My Mother was in the trunk of my car all through my trip from New York to New Jersey.,0
my brother eat fire,my brother eat vegetables,1
My house is bigger than my car.,My car is bigger than my house.,0
He went to the toy store to eat.,He went to the restaurant to eat.,1
he took the picture with his camera,he took the picture with the calculator,0
She was invited to a birthday party in a kitchen,She was invited to a birthday party in a pub,1
I use a pot to light the candles,I use a match to light the candles,1
He is writing a letter to a friend.,He is laughing a letter to a friend.,0
The Dog will crow at dawn.,The Chicken will crow at dawn.,1
He drank a full glass of lemonade,He drank a full glass of bleach,0
I love watching reality shows live on Television.,I love watching reality shows live on Radio.,0
The boy drove his car to school.,The boy drove his scissors to school.,0
He parked a truck in a small garage,He parked a car in a small garage,1
My sister drives a chicken to work.,My sister drives a car to work.,1
He gave milk to the table,He gave milk to the cat,1
One impairment a person might have is back pain.,One impairment a chair might have is back pain.,0
HE WAS GOES TO THE HOTEL TO WRITE HIS SEMESTER EXAMS.,HE WAS GOES TO THE  COLLEGE TO WRITE HIS SEMESTER EXAMS.,1
Some people has cats as domesticated animals.,Some people has tiger as domesticated animals.,0
Animals can photograph people with cameras.,People can photograph animals with cameras.,1
Dog is men's fried pan,Dog is man's best friend,1
Potato soup is made with potatoes.,Potato soup is made with printer ink.,0
my brother eat ice creams,my brother eat fridge,0
My cat likes eating fish.,My fish likes eating cats.,0
I went to market by my table.,I went to market by car.,1
Moon is red in color,Sun is red in color,1
They were travelling in a plate on the ocean,They were travelling in a ship on the ocean,1
Jeff ate coffee,Jeff drank coffee,1
"A person should be determined, but must know when to let go","A termite should be determined, but must know when to let go",0
The man stapled some houses together.,The man stapled some documents together.,1
he washed clothes in car,He washed clothes in washing machine,1
The old king of Spain had many wives,The old donut of Spain had many wives,0
He has ten fingers in one hand.,He has ten fingers in his hands.,1
Birds like to bathe in my bird bath.,Birds like to bathe in a volcano.,0
Electronics can run with electricity.,Electronics can run with water.,0
We can trap a mouse using a mouse trap,We can trap a tiger using a mouse trap,0
A toothbrush is used for cleaning teeth.,A television is used for cleaning teeth.,0
A phone is used to send clothes.,A phone is used to send messages.,1
He called his friend on the lightbulb,He called his friend on the phone,1
She wrote an essay.,She ate an essay.,0
He print a photo from a printer,He print a laptop from a printer,0
Rock are animals and can feel pain,Cows are animals and can feel pain,1
Roadkill makes great party decorations,Balloons make great party decorations,1
Situation: I am eating my dinner at night,I am eating my dinner in the morning,0
photographs are captured by a camera,photographs are captured by a calculator,0
He likes to eat cookies,He likes to eat stones,0
he was sent to jail for stealing,he was sent to restaurant for stealing,0
the cat barks all day long,the dog barks all day long,1
He kept an Helicopter above the chair,He kept TV above the chair,1
I threw the treadmill to my son.,I threw the baseball to my son.,1
He brushed his eyes with a toothbrush,He brushed his teeth with a toothbrush,1
We can run daily to stay healthy.,We can fly daily to stay healthy.,0
my son like to eat tiger after meal,my son like to eat chocolate after meal,1
I appear to have dropped my pen,I appear to have dropped my elephant,0
She placed the car into the fridge.,She placed the vegetables into the fridge.,1
Movies are screened in hospitals,Movies are screened in theaters,1
The dog walked into the sky.,The dog walked in the park.,1
People eat bricks for breakfast,People eat cereal for breakfast,1
she is a woman,she is a dragon,0
He made an apple pie,He made an apple of pies,0
Something might you do after eating is belching,Something might you do after eating is flying in air,0
I go to university to get a bachelor's degree,I go to jail to get a bachelor's degree,0
He is cutting his hair with scissors.,He is cutting his hair with knife.,0
We eat dinner during the day.,We eat lunch during the day.,1
I want to be a sound engineer.,I want to be a computer.,0
My favorite milk is turkey milk.,My favorite milk is cow milk.,1
a gun can be used for feed people,a gun can be used for killing people,1
Bees make honey for elephants,Bees make honey for their children,1
Licking the ground taste like dirt,Licking the ground taste sweet,0
You can not breath under water without an air supply,you can not breath under water without a puppet,0
A house phone can make calls anywhere.,A mobile telephone can make calls anywhere.,1
Chilly powder is sweet in taste,Sugar is sweet in taste,1
I brush my teeth with a knife,I brush my teeth with a toothbrush,1
The man lived in a house,The man lived on the moon,0
he drove a helicopter to work,he was driving to work,1
she sails the lake on a boat,she sails the lake on a car,0
She put jelly on her hair to clean it.,She put shampoo on her hair to clean it.,1
A pastor preaches the law,A pastor preaches the bible,1
She parked her car on top of mine,She parked her car behind mine,1
He put gas in his bicycle.,He put gas in his car.,1
Something you find in sea is fish,Something you find in sea is elephant,0
It is helpful to carry an umbrella when it is a rainy day.,It is helpful to close an umbrella when it is a rainy day.,0
A party nullifies a marriage.,An annulment cancels a marriage.,1
There are lot of buildings in a forest,There are lot of trees in a forest,1
People don't need to drink water to live.,People need water to survive.,1
A band is made up of several musical components.,A band is made up of several pieces of candy.,0
he went to office in pen,he went to office in bicycle,1
I ran a mile,I ran a brick,0
She brought two kilograms of electricity to home from market,She brought two kilograms of apple to home from market,1
Cars cause nothing to the environment.,Cars are polluting the planet.,1
People want to see a monkey perform at the superbowl,People want to see a band perform at the superbowl,1
Baseball players use bubble gum to catch baseball.,Baseball players use gloves to catch baseballs.,1
he took the boat to croos the street,he took the boat to cross the river,1
"To have a conversation, you need at least 2 people.","To have a conversation, you need just one person.",0
A Fish can fly.,A Bird can fly.,1
The dog ate the car inside the house,The dog ate food inside the house,1
He ate a big piece of cake.,He ate a big piece of paper.,0
He drove his house to work.,He drove his car to work.,1
He bought a drink from the shop,He bought a drink from the police station,0
The sun is too cold,The sun is too hot,1
The boy hit the baseball with the broom.,The boy hit the baseball with the baseball bat.,1
A knife is sharp enough to cut the finger,A knife is sharp enough to cut the bricks,0
There are lot of roses on the rose plant,There are lot of cats on the rose plant,0
She eat chicken from her vegetable soup,She at chicken from her chicken soup,1
Everyone who went to the party had something to drink.,"Everyone at the party had a drink, but some of them did not.",0
men don't have hair,Women have long hair.,1
He was fishing in the lake,He was fishing in the ladder,0
The patient diagnosed the doctor's symptoms.,The doctor diagnosed the patient's symptoms.,1
"If you want to get drunk, you must consume food.","If your want to get drunk, you must consume alcohol.",1
I like to watch birds with washing machines.,I like to watch birds with binoculars.,1
The ice cream melt in the sun.,The rock melt in the sun.,0
My keys are made of silver,My keys are made of ice,0
Water comes out of bathroom mirror,Water comes out of bathroom tap,1
he was waiting to see a doctor,he ordered a doctor,0
"Patient, a person who is qualified to treat people who are ill.","Doctor, a person who is qualified to treat people who are ill.",1
A person who is studying at a university or other place is called student,A person who is studying at a university or other place is called teacher,0
He bought a T-Rex to a school classroom,He bought a dog to a school classroom,1
I ate the whiteboard for lunch.,I ate salad for lunch.,1
He put the pliers in the guacamole.,He put the lime in the guacamole.,1
The woman has to breastfeed her baby before going to work.,The woman has to breastfeed her Teddy before going to work.,0
Restaurant is place where people come to cook food,Restaurant is place where people come to eat food,1
A horse live on a farm.,A horse lives on the moon.,0
She washed her shirt in a sink.,She washed her shirt in a thimble.,0
One thing we do after bathing is wiping our body,One thing we do after bathing is rolling in mud,0
I fell  in love with my colored pencils,I fell in love with my husband,1
A rat chased killed ate the cat,A cat chased killed ate the rat,1
he was sent to a restaurant for treatment after being sick,he was sent to a hospital for treatment after becoming ill,1
Apartments are build for large number of family to live .,Apartments are build for a single family  to live .,0
Humans are considered to be mammals.,Crocodiles are considered to be mammals.,0
You may considered unlucky if you win a prize.,You may considered lucky if you win a prize.,1
Something you will find in a bedroom is a car,Something you will find in a bedroom is a bed,1
She hate it when the cows start barking,She hate it when the dogs start barking,1
Doors are to protect us from intruders,Doors are to travel from one place to another place,0
he used the match box to light the candle,he used the match box to light the pen,0
The world is so vast,The world is so small,0
He put the letter in the mailbox,He put the child in the mailbox,0
Clouds are seen in the sky,Clouds are seen in the earth,0
She grows roses in her garden.,She grows helicopters in her garden.,0
She used her car to drive away from city,She used her dog to drive away from city,0
He wears an apron to cook.,He wears a baboon to cook.,0
Jhone cooked food to eat,Jhone cooked food to sleep,0
A watch can be used to tell the time.,A potato can be used to tell the time.,0
Dogs can eat lots of chocolate.,Dogs cannot eat chocolate.,1
You can heat a turkey in the freezer,You can heat a turkey in the oven,1
A cook uses vegetables to cook dinner.,A  lion uses vegetables to cook dinner.,0
He drove his donkey to work.,He drove his car to work.,1
He ate shampoo for dinner,He ate fish for dinner,1
the dog took him for a walk,He took the dog for a walk,1
I like going to a nail salon to paint my nails,I like going to a nail salon to paint my hairs,0
He put a fridge into the purse,He put a money into the  purse,1
I am walking the car,I am walking the dog,1
she wears her coat when it's cold,she wears her swimsuit when it's cold,0
he went to salon for hair cut,he went to restaurant for hair cut,0
Liz was hungry so she made a sandwich and an apple.,Liz very hungry so she ate an whole elephant,0
I ate grilled and peppered red Meat for dinner yesterday.,I ate grilled and peppered red Stone for dinner yesterday.,0
I need you to print hard copies of the document using the chairman's Printer.,I need you to print hard copies of the document using the chairman's Tablet.,0
People use cups to keep dry when it rains,People use an umbrella to keep dry when it rains,1
When you go opposite to east you are going to north,When you go opposite to east you are going to west,1
Mobile phones is useless,Mobile phones can be very useful.,1
You might find diamonds on a menu in a restaurant.,Something you might find on a menu in a restaurant is steak.,1
"Temple, Church and Mosque  are the places where people pray","Temple, Church and Mosque  are the places where people sleep",0
The woman is as beautiful as a salami,The woman is very beautiful,1
They drive the car to Chicago,They drive the car flying over Chicago,0
Many innocents will get arrested soon,Many criminals will get arrested soon,1
Jeff walked into the store,Jeff drove into the store,0
An aeroplane is an automobile used to travel in air,An aeroplane is an automobile used to travel on road,0
She told her husband she had been shopping but had not bought anything.,She told her husband she had bought something but had not done any shopping.,0
you can walk like a old man,You can walk like a fish,0
Tetris is a house,Tetris is a videogame,1
Some animals are poisonous to humans.,Every animal is safe to touch and eat.,0
People can eat tomatoes for breakfast,People can eat metal for breakfast,0
the man jumped over the building,The man jumped over the chair,1
She sees an alligator in the sky,She sees a bird in the sky,1
his wife gave birth to a spoon,his wife gave birth to a girl baby,1
I went to a computer service center to fix a problem with my computer,I went to a grocery store to fix a problem with my computer,0
He put mustard on his ice cream.,He put chocolate syrup on his ice cream.,1
The man has a conversation with a wall,The man had a conversation with a friend,1
Lions live in igloos in Antarctica.,Lions live in Africa.,1
Flowers are likely to be found in the garden.,Flowers are likely to be found in the sky.,0
He fishes tuna in the supermarket,He fishes tuna in the sea,1
he took money from his wallet,he took money from key,0
My father gave me paper to buy a new game.,My father gave me money to buy a new game.,1
He threw a whale over the house,He threw a baseball over the house,1
It is inhuman declawing cats.,It is inhuman declawing babies.,0
he bought a bike chain for his wife's neck,he bought a necklace for his wife's neck,1
You need to bath because you are fat,You need to bath because you look dirtier,1
She feeds seeds to the birds.,She feeds coins to the birds.,0
My father row a boat in lake for fishing.,My father row a boat in road for fishing.,0
I went out and immediately went out again.,I came home and immediately went out again.,1
The boy had to buy food for his pet elephant.,The boy had to buy food for his pet dog.,1
With the remote she changed the TV channel in her living room,With the remote she changed the people in her living room,0
Some gardens contains Dinosaurs,Some gardens contain flowers,1
She rented a new book from the library,She rented a new car from the library,0
She bought a car,She ate a car,0
Jose has many friends because he is tall,Jose has many friends because he is sociable,1
Football is played using shuttle cork,Football is a game played using ball,1
A watchman can dress a wound,A nurse can dress a wound,1
Children like playing with lightning in the rain.,Children like playing in puddles in the rain.,1
Jogging is healthy,Eating junk food is healthy,0
The shower is used to clean his body.,The shower is to clean the air outside.,0
Mark answered his banana.,Mark answered his phone.,1
Coffee is a stimulant found in caffeine.,Caffeine is a stimulant found in coffee.,1
They went out for breakfast and drank cappuccinos.,They went out for breakfast and drank shoes.,0
Fire is dangerous.,Fire is unharmful.,0
he went to school to study,he went to school to watch movies,0
Goats can lay eggs,Chicken can lay eggs,1
He ate an apple,He ate an apple-tree,0
A chicken laid an egg,A cat laid an egg,0
She put the shoe on her foot,She put the shoe on her hand,0
"If you want to quench your thirst, you must drink alcoholic beverages.","If you want to quench your thirst, you must drink non-alcoholic beverages.",1
he ordered chicken to eat,he ordered leather to eat,0
The dog rode a bicycle to work,The man rode a bicycle to work,1
he watched the television,the television watched him,0
Cars use fuel to work,Cars are made of fuel,0
The center of some grapes have leaf.,The center of some grapes have seeds.,1
he went to the theater with swimming suit,he went to the pool with swimming suit,1
HE DRINKS BLACK-TEA EVERYMORNING.,HE DRINKS HAIR-DYE EVERYMORNING.,0
Custodians clean buildings at night,Custodians design buildings at night,0
Some people take bath in a cupboard,Some people take bath in a shower,1
You can write without a pen,You can write with a pen,1
A lock is to lock down the house,A knife is to lock down the house,0
The dog flew over the car,The hawk flew over the car,1
"To wash dishes, just put them in the dishwasher.","To wash dishes, just put them in the oven.",0
"IF you want to become fat, you have to eat more","If you want to become rich, you have to beg",0
A police stole all the golds with him and left,A thief stole all the golds with him and left,1
A bridge is a connection over a body of water,A bridge is a cancer over a body of water,0
I just disposed my contaminated trash into the trash can.,I just disposed my contaminated trash into the frying pan.,0
She planned a brush.,She planned a party.,1
The police officer pulled over the car.,The police officer arrested the car.,0
"My mom is the best, she knits the best meals.","My mom is the best, she cooks the best meals.",1
Electric lights are used to see sun during night,Electric lights are used to see things during night,1
I cooked a potato on the stove.,I cooked a potato in the sink.,0
he used headphones to hear music,he used a charging cable to hear music,0
A person drives a car.,A person eats a car.,0
A bucket carries water.,A bucket carries a lake.,0
The ocean is filled with elephants.,The ocean is filled with water.,1
I will walk my house,I will walk my dog,1
He put a horse in his car,He put gas in his car,1
She threw the rotten meat into the trash can,She threw the live cow into the trash can,0
Wheels are square.,Wheels are round.,1
He called his mother with his toaster.,He called his mother with his mobile phone.,1
He played a game of chess.,Chess played with his mind.,0
A person can stay at a dog while on vacation.,A person can stay at a hotel while on vacation.,1
He threw the bouncy ball onto the ground and it broke.,He threw the glass onto the ground and it broke.,1
The rice was always open,The door was always open,1
you can find groceries in art galleries,you can find paintings in art galleries,1
They went to the swimming pool for a swim,They went to the bathroom for a swim,0
Vaughn was a brave cactus of the round table.,Vaughn was a brave Knight of the round table.,1
He washes his hands with dirt.,He washes his hands with soap.,1
